"1"	"330"	"Records of the War Labor Policies Board"	""
"2"	"331"	"Records of the National War Labor Board (World War I)"	""
"3"	"332"	"Records of the U.S. Housing Corporation"	""
"4"	"333"	"Records of the U.S. Food Administration"	""
"5"	"334"	"Records of the U.S. Grain Corporation"	""
"6"	"335"	"Records of the U.S. Sugar Equalization Board, Inc"	""
"7"	"336"	"Records of the Bureau of Entomology and Plant Quarantine"	""
"8"	"337"	"Records of the Bureau of Agricultural Engineering"	""
"9"	"338"	"Records of the National Recovery Administration"	""
"10"	"339"	"Records of the National Commission on Law Observance and Enforcement"	""
"11"	"340"	"General Records of the United States Government"	""
"12"	"341"	"Records of the Office of Education"	""
"13"	"342"	"Records of the National Mediation Board"	""
"14"	"343"	"Records of the U.S. Railroad Administration"	""
"15"	"344"	"Records of the Department of Veterans Affairs"	"DVA"
"16"	"345"	"Records of the Office of the Secretary of Agriculture"	""
"17"	"346"	"Records of the Bureau of Animal Industry"	""
"18"	"347"	"Records of the Army Air Forces"	""
"19"	"348"	"Records of the Bureau of Ships"	""
"20"	"349"	"Records of the Office of the Special Adviser to the President on Foreign Trade"	""
"21"	"350"	"Records of District Courts of the United States"	""
"22"	"351"	"Records of the U.S. Fish and Wildlife Service"	"FWS"
"23"	"352"	"Records of the Coast and Geodetic Survey"	""
"24"	"353"	"Records of the Bureau of Naval Personnel"	""
"25"	"354"	"Records of the National Labor Relations Board"	""
"26"	"355"	"Records of the U.S. Coast Guard"	"USCG"
"27"	"356"	"Records of the Weather Bureau"	""
"28"	"357"	"Records of the Post Office Department"	""
"29"	"358"	"Records of the Bureau of the Census"	"DOC-Census"
"30"	"359"	"Records of the Bureau of Public Roads"	""
"31"	"360"	"Records of the Federal Housing Administration"	""
"32"	"361"	"Records of the U.S. Shipping Board"	""
"33"	"362"	"Records of the Extension Service"	""
"34"	"363"	"Records of the Federal Deposit Insurance Corporation"	""
"35"	"364"	"Records of the Civilian Conservation Corps"	""
"36"	"365"	"Records of the U.S. Customs Service"	""
"37"	"366"	"Records of the Hydrographic Office"	""
"38"	"367"	"Records of the Office of the Chief of Naval Operations"	""
"39"	"368"	"Records of the Bureau of Accounts (Treasury)"	""
"40"	"369"	"General Records of the Department of Commerce"	"DOC"
"41"	"370"	"Records of the Bureau of Marine Inspection and Navigation"	""
"42"	"371"	"Records of the Office of Public Buildings and Public Parks of the National Capital"	""
"43"	"372"	"Records of International Conferences, Commissions, and Expositions"	""
"44"	"373"	"Records of the Office of Government Reports"	""
"45"	"374"	"Naval Records Collection of the Office of Naval Records and Library"	""
"46"	"375"	"Records of the U.S. Senate"	"Congress"
"47"	"376"	"Records of the Social Security Administration"	"SSA"
"48"	"377"	"Records of the Office of the Secretary of the Interior"	"Interior"
"49"	"378"	"Records of the Bureau of Land Management"	"BLM"
"50"	"379"	"Records of the Treasurer of the United States"	""
"51"	"380"	"Records of the Office of Management and Budget"	""
"52"	"381"	"Records of the Bureau of Medicine and Surgery"	""
"53"	"382"	"Records of the Bureau of the Public Debt"	""
"54"	"383"	"Records of the Bureau of Plant Industry, Soils, and Agricultural Engineering"	""
"55"	"384"	"Records of the Government of the Virgin Islands"	""
"56"	"385"	"General Records of the Department of the Treasury"	"Treasury"
"57"	"386"	"Records of the U.S. Geological Survey"	"USGS"
"58"	"387"	"Records of the Internal Revenue Service"	"Treasury"
"59"	"388"	"General Records of the Department of State"	"DOS"
"60"	"389"	"General Records of the Department of Justice"	"DOJ"
"61"	"390"	"Records of the War Industries Board"	""
"62"	"391"	"Records of the Council of National Defense"	""
"63"	"392"	"Records of the Committee on Public Information"	""
"64"	"393"	"Records of the National Archives and Records Administration"	"NARA"
"65"	"394"	"Records of the Federal Bureau of Investigation"	"FBI"
"66"	"395"	"Records of the Commission of Fine Arts"	""
"67"	"396"	"Records of the U.S. Fuel Administration"	""
"68"	"397"	"Records of the U.S. Coal Commission"	""
"69"	"398"	"Records of the Work Projects Administration"	"WPA"
"70"	"399"	"Records of the U.S. Bureau of Mines"	""
"71"	"400"	"Records of the Bureau of Yards and Docks"	""
"72"	"401"	"Records of the Bureau of Aeronautics"	""
"73"	"402"	"Records of the President's Organization on Unemployment Relief"	""
"74"	"403"	"Records of the Bureau of Ordnance"	""
"75"	"404"	"Records of the Bureau of Indian Affairs"	""
"76"	"405"	"Records of Boundary and Claims Commissions and Arbitrations"	""
"77"	"406"	"Records of the Office of the Chief of Engineers"	""
"78"	"407"	"Records of the U.S. Naval Observatory"	""
"79"	"408"	"Records of the National Park Service"	"NPS"
